Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Commodity,Modal_Price,Revenue,Cost,Profit
Banana,1999,Whole Year ,Puducherry,282.0,8890,1434.5875,29928.66,76.14,29.25,Banana,2452.813852813853,21805515.151515152,30004.8,21775510.35151515
Cotton,1999,Kharif     ,Puducherry,357.0,1835,1434.5875,37888.41,96.39,5.14,Cotton,7018.95205479452,12879777.020547945,37984.8,12841792.220547944
Onion,1999,Whole Year ,Puducherry,14.0,183,1434.5875,1485.82,3.78,13.07,Onion,1464.6079195402297,268023.249275862,1489.6,266533.64927586203
Cotton,1999,Kharif     ,West Bengal,750.0,2040,2318.1,79597.5,202.5,2.72,Cotton,7018.95205479452,14318662.191780822,79800.0,14238862.191780822
Maize,1999,Kharif     ,West Bengal,35129.0,69682,2318.1,3728240.77,9484.83,1.941538462,Maize,2600.0,181173200.0,3737725.6,177435474.4
Potato,1999,Summer     ,West Bengal,2478.0,33214,2318.1,262990.14,669.06,13.4,Potato,931.9471865745311,30953693.854886476,263659.2,30690034.654886477
Potato,1999,Winter     ,West Bengal,313373.0,7449103,2318.1,33258276.49,84610.71,20.56777778,Potato,931.9471865745311,6942170583.353899,33342887.2,6908827696.153899
Wheat,1999,Rabi       ,West Bengal,364155.0,850778,2318.1,38647770.15,98321.85,2.096666667,Wheat,2462.4266055045873,2094978382.5779817,38746092.0,2056232290.5779817
Banana,2000,Whole Year ,Andhra Pradesh,49051.0,819660,935.6,4815336.67,12753.26,17.63090909,Banana,2452.813852813853,2010473402.5974026,4828089.93,2005645312.6674025
Cotton,2000,Kharif     ,Andhra Pradesh,1021721.0,1662683,935.6,100302350.6,265647.46,1.687727273,Cotton,7018.95205479452,11670292259.321917,100567998.05999999,11569724261.261917
Maize,2000,Kharif     ,Andhra Pradesh,430544.0,1107165,935.6,42266504.48,111941.44,2.564545455,Maize,2600.0,2878629000.0,42378445.919999994,2836250554.08
Maize,2000,Rabi       ,Andhra Pradesh,97123.0,473602,935.6,9534564.91,25251.98,5.019545455,Maize,2600.0,1231365200.0,9559816.89,1221805383.11
Onion,2000,Kharif     ,Andhra Pradesh,17058.0,227873,935.6,1674583.86,4435.08,12.77315789,Onion,1464.6079195402297,333744600.44939077,1679018.9400000002,332065581.5093908
Onion,2000,Rabi       ,Andhra Pradesh,13248.0,308617,935.6,1300556.16,3444.48,22.5085,Onion,1464.6079195402297,452002902.30474705,1304000.64,450698901.66474706
Potato,2000,Whole Year ,Andhra Pradesh,2489.0,14618,935.6,244345.13,647.14,6.14375,Potato,931.9471865745311,13623203.973346496,244992.27000000002,13378211.703346496
Wheat,2000,Rabi       ,Andhra Pradesh,14261.0,8121,935.6,1400002.37,3707.86,0.581818182,Wheat,2462.4266055045873,19997366.463302754,1403710.2300000002,18593656.233302753
Banana,2000,Whole Year ,Assam,42534.0,590095,1965.5,4175562.78,11058.84,13.73217391,Banana,2452.813852813853,1447393190.4761906,4186621.6199999996,1443206568.8561907
Cotton,2000,Kharif     ,Assam,1673.0,760,1965.5,164238.41,434.98,0.426521739,Cotton,7018.95205479452,5334403.561643835,164673.39,5169730.1716438355
Maize,2000,Kharif     ,Assam,20241.0,14616,1965.5,1987058.97,5262.66,0.605652174,Maize,2600.0,38001600.0,1992321.63,36009278.37
Onion,2000,Whole Year ,Assam,7359.0,17156,1965.5,722433.03,1913.34,2.331304348,Onion,1464.6079195402297,25126813.46763218,724346.37,24402467.097632177
Potato,2000,Whole Year ,Assam,80504.0,668457,1965.5,7903077.68,20931.04,7.459565217,Potato,931.9471865745311,622966620.4960513,7924008.72,615042611.7760513
Wheat,2000,Rabi       ,Assam,70301.0,85695,1965.5,6901449.17,18278.26,1.175909091,Wheat,2462.4266055045873,211017647.95871562,6919727.43,204097920.5287156
Banana,2000,Whole Year ,Goa,2000.0,14745,3886.9,196340.0,520.0,7.37,Banana,2452.813852813853,36166740.25974026,196860.0,35969880.25974026
Banana,2000,Whole Year ,Karnataka,35335.0,649567,1213.3,3468836.95,9187.1,18.36037037,Banana,2452.813852813853,1593266935.930736,3478024.0500000003,1589788911.880736
Cotton,2000,Kharif     ,Karnataka,551763.0,855236,1213.3,54166573.71,143458.38,1.593333333,Cotton,7018.95205479452,6002860479.534246,54310032.09,5948550447.444246
Maize,2000,Kharif     ,Karnataka,599893.0,1961879,1213.3,58891495.81,155972.18,3.1712,Maize,2600.0,5100885400.0,59047467.99,5041837932.01
Maize,2000,Rabi       ,Karnataka,57797.0,142674,1213.3,5673931.49,15027.22,2.397368421,Maize,2600.0,370952400.0,5688958.71,365263441.29
Maize,2000,Summer     ,Karnataka,11165.0,31091,1213.3,1096068.05,2902.9,2.774761905,Maize,2600.0,80836600.0,1098970.95,79737629.05
Onion,2000,Whole Year ,Karnataka,120358.0,645357,1213.3,11815544.86,31293.08,6.0164,Onion,1464.6079195402297,945194973.130724,11846837.94,933348135.1907239
Potato,2000,Whole Year ,Karnataka,38298.0,452462,1213.3,3759714.66,9957.48,11.70933333,Potato,931.9471865745311,421670687.9318855,3769672.14,417901015.7918855
Wheat,2000,Rabi       ,Karnataka,266310.0,249880,1213.3,26143652.7,69240.6,0.93375,Wheat,2462.4266055045873,615311160.1834862,26212893.3,589098266.8834863
Banana,2000,Whole Year ,Kerala,45059.0,327955,2412.6,4423442.03,11715.34,7.457857143,Banana,2452.813852813853,804412567.0995672,4435157.37,799977409.7295672
Cotton,2000,Kharif     ,Kerala,3847.0,6209,2412.6,377659.99,1000.22,1.61,Cotton,7018.95205479452,43580673.30821918,378660.20999999996,43202013.09821918
Banana,2000,Whole Year ,Meghalaya,5377.0,64100,6258.8,527860.09,1398.02,11.36285714,Banana,2452.813852813853,157225367.96536797,529258.11,156696109.85536796
Cotton,2000,Kharif     ,Meghalaya,7340.0,7684,6258.8,720567.8,1908.4,1.036666667,Cotton,7018.95205479452,53933627.58904109,722476.2000000001,53211151.38904109
Maize,2000,Kharif     ,Meghalaya,16906.0,24250,6258.8,1659662.02,4395.56,1.437142857,Maize,2600.0,63050000.0,1664057.58,61385942.42
Potato,2000,Whole Year ,Meghalaya,18318.0,144292,6258.8,1798278.06,4762.68,6.954285714,Potato,931.9471865745311,134472523.44521224,1803040.74,132669482.70521225
Wheat,2000,Rabi       ,Meghalaya,4215.0,6892,6258.8,413786.55,1095.9,1.395,Wheat,2462.4266055045873,16971044.165137615,414882.45,16556161.715137616
Banana,2000,Whole Year ,Puducherry,239.0,7532,1434.5875,23462.63,62.14,26.25,Banana,2452.813852813853,18474593.93939394,23524.77,18451069.16939394
Cotton,2000,Kharif     ,Puducherry,452.0,2300,1434.5875,44372.84,117.52,5.11,Cotton,7018.95205479452,16143589.726027397,44490.35999999999,16099099.366027398
Onion,2000,Whole Year ,Puducherry,13.0,202,1434.5875,1276.21,3.38,15.54,Onion,1464.6079195402297,295850.7997471264,1279.5900000000001,294571.2097471264
Cotton,2000,Kharif     ,West Bengal,1188.0,2732,1907.7,116625.96,308.88,2.3,Cotton,7018.95205479452,19175777.01369863,116934.84000000001,19058842.17369863
Maize,2000,Kharif     ,West Bengal,35267.0,88264,1907.7,3462161.39,9169.42,2.568571429,Maize,2600.0,229486400.0,3471330.81,226015069.19
Potato,2000,Whole Year ,West Bengal,299664.0,7673130,1907.7,29418014.88,77912.64,22.39388889,Potato,931.9471865745311,7150951915.720632,29495927.52,7121455988.200631
Wheat,2000,Rabi       ,West Bengal,426000.0,1057610,1907.7,41820420.0,110760.0,2.330555556,Wheat,2462.4266055045873,2604287002.2477064,41931180.0,2562355822.2477064
Banana,2001,Whole Year ,Andhra Pradesh,50507.0,761365,928.4,5158279.91,13131.82,11.73363636,Banana,2452.813852813853,1867486619.047619,5171411.73,1862315207.317619
Cotton,2001,Kharif     ,Andhra Pradesh,1107852.0,1876698,928.4,113144924.8,288041.52,1.820454545,Cotton,7018.95205479452,13172453283.328766,113432966.32,13059020317.008766
Maize,2001,Kharif     ,Andhra Pradesh,337533.0,986011,928.4,34472245.29,87758.58,2.801818182,Maize,2600.0,2563628600.0,34560003.87,2529068596.13
Maize,2001,Rabi       ,Andhra Pradesh,90752.0,470744,928.4,9268501.76,23595.52,5.592857143,Maize,2600.0,1223934400.0,9292097.28,1214642302.72
Onion,2001,Kharif     ,Andhra Pradesh,17736.0,234978,928.4,1811377.68,4611.36,12.74411765,Onion,1464.6079195402297,344150639.7177241,1815989.04,342334650.67772406
Onion,2001,Rabi       ,Andhra Pradesh,14089.0,324477,928.4,1438909.57,3663.14,21.08136364,Onion,1464.6079195402297,475231583.9086551,1442572.71,473789011.1986551
Potato,2001,Whole Year ,Andhra Pradesh,2348.0,14653,928.4,239801.24,610.48,5.85,Potato,931.9471865745311,13655822.124876603,240411.72,13415410.404876603
Wheat,2001,Rabi       ,Andhra Pradesh,13793.0,9486,928.4,1408679.09,3586.18,0.6275,Wheat,2462.4266055045873,23358578.779816516,1412265.27,21946313.509816516
Banana,2001,Whole Year ,Assam,43600.0,606192,1824.7,4452868.0,11336.0,13.77652174,Banana,2452.813852813853,1486876135.0649352,4464204.0,1482411931.0649352
Cotton,2001,Kharif     ,Assam,1882.0,860,1824.7,192208.66,489.32,0.443913043,Cotton,7018.95205479452,6036298.767123288,192697.98,5843600.787123287
Maize,2001,Kharif     ,Assam,19600.0,13940,1824.7,2001748.0,5096.0,0.608695652,Maize,2600.0,36244000.0,2006844.0,34237156.0
Onion,2001,Whole Year ,Assam,7476.0,17453,1824.7,763523.88,1943.76,2.351304348,Onion,1464.6079195402297,25561802.019735627,765467.64,24796334.379735626
Potato,2001,Whole Year ,Assam,80056.0,620571,1824.7,8176119.28,20814.56,7.350869565,Potato,931.9471865745311,578339397.5197433,8196933.84,570142463.6797433
Wheat,2001,Rabi       ,Assam,72245.0,85300,1824.7,7378381.85,18783.7,1.185217391,Wheat,2462.4266055045873,210044989.4495413,7397165.55,202647823.8995413
Banana,2001,Whole Year ,Goa,2100.0,15482,2530.6,214473.0,546.0,7.37,Banana,2452.813852813853,37974464.06926407,215019.0,37759445.06926407
Cotton,2001,Kharif     ,Karnataka,608479.0,612415,1002.9,62143960.27,158204.54,1.221428571,Cotton,7018.95205479452,4298511522.636986,62302164.81,4236209357.826986
Maize,2001,Kharif     ,Karnataka,505574.0,1274858,1002.9,51634272.62,131449.24,2.663333333,Maize,2600.0,3314630800.0,51765721.86,3262865078.14
Maize,2001,Rabi       ,Karnataka,65189.0,152769,1002.9,6657752.57,16949.14,2.279,Maize,2600.0,397199400.0,6674701.71,390524698.29
Maize,2001,Summer     ,Karnataka,9272.0,23960,1002.9,946949.36,2410.72,2.6265,Maize,2600.0,62296000.0,949360.08,61346639.92
Onion,2001,Whole Year ,Karnataka,125815.0,721033,1002.9,12849485.95,32711.9,7.9108,Onion,1464.6079195402297,1056030642.0498505,12882197.85,1043148444.1998504
Potato,2001,Whole Year ,Karnataka,39156.0,473407,1002.9,3999002.28,10180.56,12.815,Potato,931.9471865745311,441190321.75468904,4009182.84,437181138.91468906
Wheat,2001,Rabi       ,Karnataka,260486.0,198822,1002.9,26603435.18,67726.36,0.777333333,Wheat,2462.4266055045873,489584582.5596331,26671161.54,462913421.01963305
Banana,2001,Whole Year ,Kerala,50871.0,375903,2946.7,5195455.23,13226.46,7.347857143,Banana,2452.813852813853,922020085.7142857,5208681.69,916811404.0242857
Cotton,2001,Kharif     ,Kerala,3760.0,6069,2946.7,384008.8,977.6,1.61,Cotton,7018.95205479452,42598020.02054794,384986.39999999997,42213033.62054794
Cotton,2001,Kharif     ,Meghalaya,7323.0,7873,4241.0,747897.99,1903.98,1.05,Cotton,7018.95205479452,55260209.52739726,749801.97,54510407.55739726
Maize,2001,Kharif     ,Meghalaya,16866.0,25247,4241.0,1722524.58,4385.16,1.471428571,Maize,2600.0,65642200.0,1726909.74,63915290.26
Potato,2001,Whole Year ,Meghalaya,18151.0,159032,4241.0,1853761.63,4719.26,7.288571429,Potato,931.9471865745311,148209424.97532082,1858480.89,146350944.08532083
Wheat,2001,Rabi       ,Meghalaya,2753.0,4812,4241.0,281163.89,715.78,1.455,Wheat,2462.4266055045873,11849196.825688073,281879.67000000004,11567317.155688073
Banana,2001,Whole Year ,Puducherry,225.0,7461,1434.5875,22979.25,58.5,25.375,Banana,2452.813852813853,18300444.155844156,23037.75,18277406.405844156
Cotton,2001,Kharif     ,Puducherry,575.0,2965,1434.5875,58724.75,149.5,5.23,Cotton,7018.95205479452,20811192.842465755,58874.25,20752318.592465755
Onion,2001,Whole Year ,Puducherry,16.0,251,1434.5875,1634.08,4.16,15.69,Onion,1464.6079195402297,367616.5878045976,1638.24,365978.34780459764
Cotton,2001,Kharif     ,West Bengal,1795.0,4481,1556.6,183323.35,466.7,1.993333333,Cotton,7018.95205479452,31451924.157534245,183790.05000000002,31268134.107534245
Maize,2001,Kharif     ,West Bengal,33288.0,86409,1556.6,3399703.44,8654.88,2.314285714,Maize,2600.0,224663400.0,3408358.32,221255041.68
Potato,2001,Whole Year ,West Bengal,299821.0,7822363,1556.6,30620718.73,77953.46,21.95444444,Potato,931.9471865745311,7290029190.214708,30698672.19,7259330518.024709
Wheat,2001,Rabi       ,West Bengal,434004.0,961533,1556.6,44324828.52,112841.04,2.109444444,Wheat,2462.4266055045873,2367704441.2706423,44437669.56,2323266771.7106423
Banana,2002,Whole Year ,Andhra Pradesh,39354.0,1027659,648.1,3725643.18,9838.5,26.83952381,Banana,2452.813852813853,2520656231.1688313,3735481.68,2516920749.4888315
Cotton,2002,Kharif     ,Andhra Pradesh,803274.0,1085739,648.1,76045949.58,200818.5,1.455238095,Cotton,7018.95205479452,7620749985.020548,76246768.08,7544503216.940548
Maize,2002,Kharif     ,Andhra Pradesh,413659.0,912047,648.1,39161097.53,103414.75,1.491363636,Maize,2600.0,2371322200.0,39264512.28,2332057687.72
Maize,2002,Rabi       ,Andhra Pradesh,111990.0,573695,648.1,10602093.3,27997.5,5.602272727,Maize,2600.0,1491607000.0,10630090.8,1480976909.2
Onion,2002,Kharif     ,Andhra Pradesh,15403.0,171950,648.1,1458202.01,3850.75,10.49411765,Onion,1464.6079195402297,251839331.7649425,1462052.76,250377279.0049425
Onion,2002,Rabi       ,Andhra Pradesh,11725.0,240657,648.1,1110005.75,2931.25,19.15952381,Onion,1464.6079195402297,352468148.09279305,1112937.0,351355211.09279305
Potato,2002,Whole Year ,Andhra Pradesh,2672.0,18677,648.1,252958.24,668.0,6.946666667,Potato,931.9471865745311,17405977.60365252,253626.24,17152351.36365252
Wheat,2002,Rabi       ,Andhra Pradesh,11044.0,14898,648.1,1045535.48,2761.0,1.09,Wheat,2462.4266055045873,36685231.56880734,1048296.48,35636935.088807344
Banana,2002,Whole Year ,Assam,42631.0,589595,1973.6,4035876.77,10657.75,13.77652174,Banana,2452.813852813853,1446166783.5497837,4046534.52,1442120249.0297837
Cotton,2002,Kharif     ,Assam,1556.0,716,1973.6,147306.52,389.0,0.422608696,Cotton,7018.95205479452,5025569.671232876,147695.52,4877874.151232877
Maize,2002,Kharif     ,Assam,19812.0,14194,1973.6,1875602.04,4953.0,0.606086957,Maize,2600.0,36904400.0,1880555.04,35023844.96
Onion,2002,Whole Year ,Assam,7500.0,17467,1973.6,710025.0,1875.0,2.337826087,Onion,1464.6079195402297,25582306.53060919,711900.0,24870406.53060919
Potato,2002,Whole Year ,Assam,75486.0,589916,1973.6,7146259.62,18871.5,7.566956522,Potato,931.9471865745311,549770556.5153011,7165131.12,542605425.3953011
Wheat,2002,Rabi       ,Assam,69061.0,77952,1973.6,6538004.87,17265.25,1.152272727,Wheat,2462.4266055045873,191951078.7522936,6555270.12,185395808.63229358
Banana,2002,Whole Year ,Goa,2116.0,15743,2516.3,200321.72,529.0,7.44,Banana,2452.813852813853,38614648.484848484,200850.72,38413797.764848486
Banana,2002,Whole Year ,Kerala,55668.0,421809,2511.2,5270089.56,13917.0,8.055714286,Banana,2452.813852813853,1034618958.4415585,5284006.56,1029334951.8815585
Cotton,2002,Kharif     ,Kerala,3400.0,5488,2511.2,321878.0,850.0,1.61,Cotton,7018.95205479452,38520008.87671233,322728.0,38197280.87671233
Banana,2002,Whole Year ,Tamil Nadu,76771.0,2836916,315.9,7267910.57,19192.75,34.81964286,Banana,2452.813852813853,6958426864.069264,7287103.32,6951139760.749265
Cotton,2002,Kharif     ,Tamil Nadu,75572.0,83542,315.9,7154401.24,18893.0,1.429230769,Cotton,7018.95205479452,586377292.5616438,7173294.24,579203998.3216438
Maize,2002,Kharif     ,Tamil Nadu,121057.0,191646,315.9,11460466.19,30264.25,1.806956522,Maize,2600.0,498279600.0,11490730.44,486788869.56
Onion,2002,Whole Year ,Tamil Nadu,23492.0,198715,315.9,2223987.64,5873.0,8.54625,Onion,1464.6079195402297,291039562.7314367,2229860.64,288809702.09143674
Potato,2002,Whole Year ,Tamil Nadu,4537.0,73362,315.9,429517.79,1134.25,18.3475,Potato,931.9471865745311,68369509.50148074,430652.04,67938857.46148074
Cotton,2002,Kharif     ,West Bengal,823.0,1474,1629.1,77913.41,205.75,2.875,Cotton,7018.95205479452,10345935.328767123,78119.16,10267816.168767123
Maize,2002,Kharif     ,West Bengal,27724.0,55300,1629.1,2624631.08,6931.0,1.895384615,Maize,2600.0,143780000.0,2631562.08,141148437.92
